NL140002,1950
SS470003,1951
LW230004,1952
OB500005,1953
ZR170006,1954
ZU580007,1955
CA480008,1956
OI740009,1957
UB370010,1958
UZ280011,1959
FN310012,1960
NQ630013,1961
ZO740014,1962
UH670015,1963
YV020016,1964
QX520017,1965
XA990018,1966
NY640019,1967
DB280020,1968
LD070021,1969
SR360022,1970
HI600023,1971
WQ130024,1972
VN830025,1973
IN730026,1974
IR870027,1975
BS390028,1976
PR870029,1977
HF430030,1978
UA030031,1979
GX300032,1980
XF180033,1981
MN630034,1982
FY100035,1983
JL420036,1984
AA240037,1985
EX470038,1986
WM560039,1987
DZ490040,1988
VR080041,1989
DU430042,1990
LS020043,1991
RD880044,1992
PT360045,1993
RZ940046,1994
ZR000047,1995
ZJ510048,1996
VC690049,1997
IA230050,1998
HE130051,1999
AV270052,2000
EN220053,2001
VQ810054,2002
RJ520055,2003
WU790056,2004
CI550057,2005
XY790058,2006
VG350059,2007
YV930060,2008
WL130061,2009
ZX480062,2010
NM680063,2011
WU510064,2012
QW460065,2013
CU420066,2014
PQ300067,2015
EA950068,2016
YY330069,2017
WD560070,2018
IM420071,2019
JL460072,2020
SZ490073,2021
XU430074,2022
